ECG,EDA
516,1
512,1
505,2
497,2
491,2
487,1
488,1
492,1
499,2
505,2
515,1
524,1
530,2
534,2
536,2
536,1
532,1
528,1
524,1
518,1
513,1
510,1
505,1
497,2
492,1
489,2
489,2
493,2
497,2
504,2
513,1
521,1
528,1
530,1
531,1
530,1
529,1
528,1
524,2
519,1
514,1
510,1
504,1
498,2
493,2
489,2
490,2
494,2
498,2
508,2
518,1
527,1
534,1
536,1
536,1
536,1
535,1
532,1
529,1
524,1
518,2
512,1
505,1
498,1
493,2
489,2
490,2
492,1
497,2
505,2
515,2
524,1
531,1
534,1
534,1
533,1
532,1
528,1
526,1
521,1
518,1
516,1
511,1
502,1
494,1
489,1
491,2
496,2
501,1
510,2
518,1
526,2
532,1
532,1
534,2
535,1
533,1
529,1
526,1
521,1
519,1
515,1
509,1
499,1
494,2
492,1
492,1
497,2
500,2
508,2
517,1
526,1
531,1
536,1
536,1
535,1
533,1
530,1
527,1
523,1
517,2
513,1
508,1
501,1
495,2
491,2
492,2
494,2
499,2
508,2
516,2
524,1
529,1
530,1
530,1
531,1
528,1
526,1
525,1
520,1
516,1
512,1
507,1
498,1
493,1
490,1
491,2
494,1
499,2
507,2
516,1
524,1
530,1
532,1
534,1
534,1
532,1
529,1
525,1
520,1
515,1
512,1
508,1
498,1
493,1
491,1
491,1
495,1
502,2
511,2
520,1
527,1
534,1
536,1
536,1
536,1
533,1
531,1
529,1
524,1
519,1
514,1
509,1
503,1
496,2
492,1
494,1
496,2
499,2
508,2
517,1
526,1
530,1
531,1
531,1
531,1
529,1
527,1
526,1
522,1
516,1
512,1
507,1
500,1
494,2
489,2
489,1
491,1
495,1
505,1
515,1
525,1
532,1
533,1
533,2
534,1
531,1
529,1
526,1
523,1
518,1
514,1
509,1
502,1
496,1
491,1
492,2
497,1
501,2
507,1
515,1
524,2
531,1
534,1
534,1
534,1
531,1
528,1
525,1
520,1
515,1
512,1
507,1
498,1
492,2
489,1
489,1
494,1
499,2
508,2
516,1
524,1
531,1
532,1
532,2
534,1
531,1
527,1
524,1
519,1
514,1
512,2
505,1
497,1
492,2
490,1
492,1
496,1
500,2
509,1
520,1
528,1
534,1
535,1
536,2
536,1
534,1
531,1
528,2
522,1
517,1
512,1
507,1
498,1
493,1
491,1
489,2
493,2
500,2
508,1
516,1
523,1
531,1
533,1
532,1
532,1
532,1
530,1
525,1
519,1
516,1
511,1
506,1
497,1
490,1
488,1
489,2
494,1
499,2
507,1
514,2
523,1
529,1
532,1
534,1
533,1
531,1
528,1
525,1
521,1
517,1
511,1
507,1
499,1
495,2
492,1
496,2
499,2
503,2
511,1
519,1
528,1
533,1
533,2
533,1
532,1
530,1
526,1
522,1
518,1
514,1
510,1
505,1
497,1
493,2
489,1
491,1
493,1
498,2
506,1
515,1
523,1
529,1
532,1
532,1
531,1
529,1
526,1
522,1
518,1
515,1
511,1
504,1
497,1
493,2
492,2
492,2
495,1
502,1
509,1
518,1
526,1
531,1
532,1
532,1
531,1
527,1
524,1
520,1
515,1
512,1
508,2
504,1
497,1
492,2
488,1
490,1
494,1
499,1
508,1
515,2
526,1
532,1
533,1
534,1
534,1
533,1
530,1
527,1
522,1
518,1
512,1
507,1
497,1
492,2
488,2
489,1
494,1
500,2
509,1
518,1
527,1
531,1
535,1
534,1
532,1
529,1
527,1
522,1
520,1
516,1
512,1
506,1
499,1
496,1
494,1
497,1
500,2
505,2
511,2
520,1
526,1
533,1
535,1
536,1
535,1
532,1
529,1
526,1
521,1
516,1
512,1
506,1
499,1
494,1
491,1
493,1
497,1
502,2
509,2
516,2
523,2
528,2
531,1
532,1
532,1
531,1
529,1
526,1
520,1
514,1
511,1
505,1
496,1
492,1
490,1
492,1
497,1
502,2
509,2
516,1
525,1
531,1
534,1
533,1
533,1
532,1
528,1
526,1
520,1
516,1
511,1
503,1
494,1
490,2
489,1
491,2
494,1
499,2
507,1
515,2
526,1
531,1
534,1
534,1
535,1
532,1
528,1
524,1
520,1
514,1
510,1
505,1
495,1
490,2
488,1
491,1
495,2
500,2
509,2
516,1
524,1
530,1
532,1
533,1
532,1
530,1
527,1
525,1
522,1
516,1
511,1
505,1
498,2
494,2
492,1
494,1
496,1
500,2
510,2
521,1
528,1
534,1
533,1
535,1
534,1
532,1
528,1
524,1
520,1
516,1
512,1
506,1
497,1
493,1
491,1
492,1
495,1
502,2
509,2
518,2
527,1
535,1
536,1
538,1
539,1
537,1
533,1
529,1
524,1
519,1
514,1
506,1
497,1
492,2
489,1
490,2
494,1
500,1
510,1
517,1
526,1
531,1
533,1
533,1
533,1
530,1
528,1
523,1
518,1
515,1
512,1
505,1
498,1
493,2
490,2
492,2
496,1
503,2
512,1
521,1
528,1
534,1
535,1
534,1
533,1
531,1
527,1
526,1
521,1
516,1
511,1
504,1
497,1
491,1
489,1
492,1
497,1
503,2
511,2
518,1
528,1
533,1
536,2
536,2
535,1
533,1
529,1
524,1
519,1
515,1
512,1
505,1
497,1
493,1
489,1
492,2
495,1
502,2
510,1
518,2
524,1
528,1
529,1
531,1
531,1
530,1
528,1
524,1
521,1
517,1
512,1
505,1
499,1
495,2
494,2
495,2
497,1
502,1
511,1
521,1
530,1
534,1
535,1
534,1
534,1
531,1
527,1
523,1
517,1
513,1
509,1
502,1
495,1
492,2
491,1
493,1
499,2
503,2
511,1
522,1
529,1
534,1
535,1
534,1
534,1
532,1
527,1
523,1
518,1
515,1
511,1
504,1
496,1
492,2
491,1
492,1
496,1
502,2
511,1
520,1
528,1
532,1
532,1
529,1
529,1
528,1
526,1
521,1
516,1
513,1
510,1
503,1
496,1
492,2
490,1
493,1
496,2
502,2
510,1
519,1
527,1
531,1
534,1
533,1
532,1
530,1
526,1
524,1
518,1
514,1
511,1
504,1
497,1
492,1
488,2
492,2
495,1
502,1
511,1
519,1
529,1
532,1
533,1
534,1
531,1
528,1
525,1
521,1
515,1
510,1
508,2
500,1
492,1
488,2
489,1
492,2
496,1
504,2
512,1
520,1
528,1
534,1
533,1
533,1
531,1
529,1
527,1
523,1
518,1
511,1
507,1
501,1
494,1
489,2
488,1
491,1
494,1
500,1
509,2
519,1
529,1
532,1
533,1
532,2
532,1
530,1
525,1
521,1
516,1
511,1
508,1
503,1
497,1
492,2
489,1
492,1
497,1
503,1
512,1
521,1
529,1
534,1
535,1
535,1
533,1
531,1
529,1
524,1
520,1
517,1
512,1
504,1
497,1
494,2
490,2
491,1
497,1
502,2
510,2
519,2
526,1
532,1
533,1
533,1
532,1
531,1
527,1
523,1
518,1
515,1
511,1
503,1
497,1
492,1
490,1
491,1
497,1
501,2
511,1
521,1
528,1
532,1
534,1
536,1
536,1
533,1
529,1
527,1
520,1
516,1
511,1
504,1
498,1
495,1
492,1
494,1
498,2
504,1
511,1
518,1
526,1
530,1
532,2
532,2
531,1
529,1
527,1
524,1
518,1
513,2
509,1
502,1
495,1
492,2
491,1
494,1
497,1
505,2
512,2
520,1
527,1
532,1
532,1
532,2
533,1
531,1
528,1
525,1
520,1
516,1
513,1
506,1
500,1
495,2
494,1
496,2
500,1
506,2
514,1
523,1
528,1
532,1
534,1
536,1
535,1
531,1
528,1
525,1
520,1
516,1
513,1
505,1
497,1
492,1
491,1
494,2
497,1
502,1
511,1
519,1
526,1
531,1
533,1
533,1
531,1
530,1
528,1
524,1
519,1
513,1
509,1
500,1
495,1
490,2
489,1
492,1
496,1
500,1
510,1
520,1
529,1
532,1
534,1
535,1
533,1
530,1
526,1
524,1
519,1
514,1
510,1
502,1
495,1
490,2
489,1
494,2
499,1
505,1
514,2
523,1
528,1
533,1
535,1
535,1
535,1
531,1
527,1
523,1
519,1
515,1
510,1
504,1
497,2
492,1
490,2
493,2
497,2
504,1
512,1
521,1
528,1
531,1
532,1
532,2
532,1
531,1
529,1
526,1
519,1
514,1
510,2
503,1
496,1
492,2
489,1
494,2
498,1
504,2
514,1
523,1
529,1
534,1
535,1
536,1
535,1
531,1
527,1
524,1
518,1
513,1
507,1
500,1
492,1
489,1
487,2
489,2
494,1
500,2
510,2
520,1
528,1
531,1
532,1
533,1
534,1
531,1
528,1
524,1
518,1
513,1
509,1
501,1
494,1
490,2
490,1
493,1
497,1
504,1
512,1
521,1
529,1
533,1
535,1
533,1
532,1
528,1
526,1
522,1
519,1
515,1
508,1
500,1
494,1
490,2
490,1
492,1
496,2
503,2
512,2
523,1
529,1
532,1
534,1
534,1
533,1
530,1
527,1
523,1
519,1
515,1
511,1
503,1
495,1
491,1
489,1
492,2
498,2
504,2
510,2
519,2
527,1
531,1
532,1
532,1
531,1
531,1
528,1
525,1
521,1
517,1
512,1
504,1
497,1
492,1
490,2
493,2
497,2
505,2
515,1
523,1
530,1
533,1
532,1
532,1
533,1
531,1
526,1
523,1
519,1
514,1
508,1
500,1
495,1
490,1
489,1
491,1
497,1
503,2
510,1
519,1
527,1
531,1
533,1
532,1
532,1
530,1
527,1
524,1
518,1
513,1
510,1
502,1
495,1
492,2
492,1
495,2
498,2
505,2
513,1
523,1
528,1
531,2
532,2
531,1
532,1
531,1
527,1
524,1
517,1
512,1
508,1
500,1
493,1
488,2
487,1
491,2
497,1
503,2
511,1
520,1
528,1
533,1
532,1
531,1
531,1
529,1
527,1
523,1
517,1
513,1
509,1
502,1
496,2
492,2
490,2
491,2
497,2
504,1
512,1
520,1
529,1
533,1
535,1
535,1
532,1
529,1
527,1
523,1
518,1
514,1
509,1
501,1
495,1
491,1
490,2
494,1
499,1
506,2
516,1
523,2
531,1
535,1
535,1
534,1
536,1
534,1
530,1
525,1
520,1
515,1
511,1
503,1
497,2
493,2
490,1
494,1
499,1
506,2
515,1
523,1
529,1
532,1
531,1
531,1
530,1
527,1
526,1
521,1
516,1
513,1
510,1
501,1
494,1
489,1
489,2
492,1
496,1
503,2
512,1
520,1
530,1
532,1
532,1
534,1
534,1
531,1
528,1
524,1
518,1
512,1
508,1
498,1
492,1
489,1
488,2
492,2
497,1
504,2
512,1
521,1
529,1
531,1
532,1
531,1
531,1
527,1
525,1
520,1
514,1
512,1
508,1
500,1
494,2
490,1
488,1
491,2
495,1
502,2
511,1
519,1
526,1
529,1
530,1
529,1
527,1
526,1
524,1
521,1
514,1
511,1
507,1
499,1
494,1
488,2
488,2
492,1
495,1
504,1
512,2
521,1
529,1
532,1
533,2
531,2
532,1
529,1
527,1
523,1
518,2
514,1
509,1
501,1
495,1
489,2
488,1
492,1
495,1
504,2
512,2
521,1
530,1
532,1
534,1
535,1
534,1
529,1
526,1
523,1
518,1
513,1
508,1
500,1
495,1
492,2
489,1
491,2
496,1
504,2
513,1
521,1
528,1
531,1
533,1
533,1
531,1
528,1
526,1
523,1
517,1
512,1
507,1
500,1
495,1
489,1
489,1
493,2
498,1
508,2
514,1
521,1
529,1
534,1
533,1
534,1
531,1
527,1
524,1
519,1
514,1
511,1
507,1
499,1
496,2
492,2
491,1
493,2
499,2
505,2
515,1
523,1
529,2
531,1
532,1
534,1
533,1
531,1
528,1
523,1
519,1
515,1
509,1
500,1
495,1
492,2
493,1
496,2
498,1
505,2
514,1
524,1
531,1
533,1
534,1
533,1
531,1
529,1
526,1
522,1
517,1
512,1
508,1
500,1
496,1
492,1
490,2
494,2
498,2
506,2
515,1
523,1
530,1
534,1
536,1
536,1
532,1
530,1
527,1
523,1
518,1
514,1
508,1
499,1
493,1
489,2
489,2
496,1
500,1
508,2
516,1
525,1
531,1
532,1
531,1
531,1
530,1
527,1
524,1
518,1
515,1
511,2
507,1
499,1
495,1
492,2
492,1
496,2
499,1
506,1
516,1
524,1
528,1
531,1
532,1
531,1
528,1
525,1
524,1
521,1
516,2
511,1
507,1
498,1
494,2
490,2
491,1
493,1
496,1
504,2
513,2
522,1
529,1
530,1
532,1
533,2
531,1
530,1
526,1
521,1
516,1
512,1
508,1
500,1
495,1
490,1
493,2
497,2
503,2
