ECG,EDA
98,63
99,63
102,63
105,63
108,63
110,63
112,63
114,63
116,63
118,63
117,63
117,63
118,63
119,63
119,63
120,63
121,63
124,63
126,63
130,63
132,63
135,63
138,63
141,63
145,63
149,63
152,63
153,63
156,63
157,63
159,63
159,63
159,63
160,63
162,63
164,63
165,63
166,62
169,63
173,63
175,63
178,63
181,63
185,63
191,63
193,63
198,62
200,63
202,63
204,63
206,63
207,63
208,63
209,63
212,63
214,63
216,62
220,63
223,62
226,63
230,63
233,63
237,63
242,63
246,63
250,63
254,63
257,63
259,63
261,62
262,63
263,62
265,63
267,62
269,63
270,62
272,63
275,63
278,63
282,63
285,63
289,63
292,63
296,63
301,63
305,63
308,63
311,63
312,62
315,63
314,62
315,63
316,63
316,63
317,62
318,63
320,62
323,63
326,62
328,63
332,62
335,63
337,63
340,63
344,62
347,63
350,62
351,63
352,62
352,63
352,62
352,63
353,62
353,63
354,62
355,63
356,62
359,63
361,61
363,63
367,62
369,63
372,62
376,63
380,62
383,63
385,61
387,63
390,62
390,63
388,62
388,63
390,62
389,63
390,62
389,63
390,61
392,63
394,61
397,63
400,62
403,63
406,62
409,63
413,62
415,63
418,62
420,63
422,62
423,63
423,62
423,63
421,61
423,63
424,62
425,63
427,62
427,63
430,62
431,63
432,62
435,63
438,62
440,63
444,62
447,63
449,62
452,63
453,62
454,63
453,62
452,63
453,63
453,63
454,62
455,63
456,62
459,63
460,62
462,62
463,62
466,62
469,63
472,62
475,63
478,62
480,62
483,63
483,62
486,62
486,63
485,62
485,63
486,61
487,63
488,61
490,63
492,61
496,63
499,61
501,63
504,61
507,63
510,61
513,63
517,62
519,63
521,62
522,62
523,62
523,63
523,62
526,63
525,62
526,63
527,62
528,62
531,62
532,62
535,63
537,63
539,61
543,63
545,63
548,62
550,63
552,62
555,63
556,62
556,63
556,62
556,63
553,62
556,63
557,62
558,63
560,62
559,63
563,62
566,63
569,62
571,63
574,62
576,63
579,62
582,63
585,63
585,63
588,62
588,63
588,62
587,63
588,62
588,63
588,63
587,63
588,62
590,63
591,62
593,63
594,62
596,63
599,63
601,63
604,63
606,63
607,62
608,63
608,62
607,62
606,62
606,62
606,63
604,62
605,63
604,63
604,63
603,63
607,62
608,63
609,63
611,62
611,62
615,63
616,63
619,63
618,62
620,63
620,62
620,63
619,62
618,63
617,62
616,63
616,62
615,63
616,62
619,63
619,62
620,63
620,62
622,63
625,62
627,63
627,62
627,63
627,61
630,63
629,62
628,63
627,61
625,63
624,62
624,63
623,62
622,63
623,62
622,63
625,62
626,63
627,62
628,63
628,62
632,63
633,62
636,63
637,62
639,63
638,61
637,63
637,62
636,63
636,62
635,63
634,61
632,63
633,61
636,63
635,61
637,63
638,61
639,63
640,61
641,63
643,62
644,63
645,61
646,63
646,62
644,63
642,62
641,63
641,62
639,63
637,62
637,63
634,62
637,63
638,62
639,63
641,62
639,63
643,62
643,63
644,62
646,63
646,63
647,62
645,63
644,62
642,63
640,62
639,63
638,62
637,63
638,62
637,63
638,62
636,63
636,62
633,63
635,62
636,63
636,62
637,63
638,62
639,63
641,63
641,63
640,62
638,63
635,62
633,63
633,61
632,63
629,62
628,63
628,62
627,63
627,62
627,63
625,62
627,63
629,62
631,63
633,62
633,63
636,63
635,63
635,62
635,63
634,62
634,63
633,62
632,63
632,62
633,63
636,62
636,63
637,62
638,63
639,61
643,63
642,61
644,63
646,61
647,63
648,62
648,63
647,62
644,63
643,62
643,63
641,62
640,63
638,62
637,62
637,62
637,63
637,63
639,63
640,63
641,62
642,63
643,62
644,63
644,62
644,63
644,62
643,63
641,61
638,63
636,62
634,63
633,62
633,63
632,61
632,63
632,61
632,63
632,61
632,63
634,62
634,63
634,62
634,63
634,63
634,63
632,63
632,63
630,63
628,62
627,63
624,62
622,63
620,63
620,63
622,63
622,62
621,63
621,62
619,63
621,62
620,63
621,62
622,63
619,61
620,63
620,62
617,62
616,63
614,62
